ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,rival,resultado,fecha,50_50,bad_behaviour_card,ball_recovery_offensive,block_offensive,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,pass_cut_back,pass_inswinging,shot_follows_dribble,shot_one_on_one,clearance_other,block_save_block,dribble_no_touch,pass_miscommunication
,,,,,,,,,,,,,,,1.511546,,,,,,,,,,,,,de401bb5-dd0f-4cb5-b0dc-958f487a28af,29,,,"[27.2, 21.5]",3869151,0,,,,,-1.2315037,,Left Foot,,,"[30.2, 13.0]",,High Pass,9.013878,,,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Argentina,779,"['2cf22ead-0f07-4df7-9816-7a4083f3e9f6', '9f10180c-bcaa-438d-b142-b9e86b8c90a4']",39,,,,,,,,,,,,,,,,,Argentina,779,00:00:39.898,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.883124,,,,,,,,,,,,,961b1eed-baf0-4b69-89ee-e8531388ceb9,219,,,"[49.1, 44.5]",3869151,3,,,,,-0.43662715,,Left Foot,,,"[56.6, 41.0]",,Ground Pass,8.276473,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,7,Argentina,779,['092f1da2-951d-4aed-8df4-ee13b0c847d0'],58,,,,,,,,,,,,,,,,,Argentina,779,00:03:58.836,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.543363,,,,,,,,,,,,,406b3c33-ca7b-449f-ba91-ce0569cc7663,318,,,"[64.1, 27.3]",3869151,6,,,,,-2.9631822,,Left Foot,,,"[58.0, 26.2]",,Ground Pass,6.1983867,,,,Alexis Mac Allister,27886.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,10,Argentina,779,"['ab43d11b-ff4c-4f5e-a7e9-ff1e98e96961', 'd756b235-271f-4755-bfd5-85ee0d0c6051']",17,,,,,,,,,,,,,,,,,Argentina,779,00:06:17.305,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.69108,,,,,,,,,,,,,77e9edf7-d94c-454e-a64c-28c267517442,337,,,"[56.3, 21.3]",3869151,6,,,,,2.8848844,,Left Foot,,,"[48.3, 23.4]",,Ground Pass,8.271034,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,10,Argentina,779,['714378c5-ef42-47ae-a73c-f16582f4434c'],27,,,,,,,,,,,,,,,,,Argentina,779,00:06:27.713,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.596789,,,,,,,,,,,,,0e3a3c36-d9e3-4859-89e9-4dc5f8ae029b,353,,,"[63.7, 28.1]",3869151,6,,True,,,-0.37131828,,Left Foot,,,"[75.0, 23.7]",,Ground Pass,12.126417,,,,Marcos Javier Acuña,19597.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,11,Argentina,779,['72fe512d-b811-4ecc-99a5-06c4aac69ed2'],54,,,,,,,,,,,,,,,,,Argentina,779,00:06:54.420,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.488628,,,,,,,,,,,,,80ffb1a0-6a53-404f-bce0-654339050f26,446,,,"[87.5, 33.0]",3869151,8,,,,,-2.155674,,Left Foot,,,"[82.6, 25.6]",,Low Pass,8.875246,,,,Alexis Mac Allister,27886.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,13,Argentina,779,"['18d7be46-9f5a-4086-8cba-4c5e572a4616', '450a84f4-3df1-43d2-bcd3-02c436b66d75']",28,,,,,,,,,,,,,,,,,Argentina,779,00:08:28.168,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.216539,,,,,,,,,,,,,2198d6b5-309a-4ad2-a01b-4e28b914012d,460,,,"[86.1, 10.8]",3869151,8,,,,,-2.8753407,,Right Foot,,,"[74.0, 7.5]",,Ground Pass,12.541929,,,,Marcos Javier Acuña,19597.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,13,Argentina,779,['dadd1c34-092a-4dcf-b877-fa49154c35a5'],38,,,,,,,,,,,,,,,,,Argentina,779,00:08:38.391,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.986408,,,,,,,,,,,,,d7e5cb2d-abcf-488f-bc6f-543e01d0e808,472,,,"[82.3, 26.4]",3869151,9,,,,,-1.0452125,,Left Foot,,,"[93.9, 6.4]",,Ground Pass,23.120554,,,,Alejandro Darío Gómez,7006.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,14,Argentina,779,['d3cebae1-6101-4df7-a812-d44b94777351'],3,,,,,,,,,,,,,,,,,Argentina,779,00:09:03.216,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.028772,,,,,,,,,,,,,4447c190-428a-4aaa-b9d1-069d93dcc6ec,557,,,"[47.5, 22.3]",3869151,10,,,,,-1.815775,,Left Foot,,,"[45.0, 12.3]",,Ground Pass,10.307764,,,,Alejandro Darío Gómez,7006.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,19,Argentina,779,"['d09814e1-5102-414b-a017-53cc619f263f', 'dc3ef849-1970-44d4-af1f-1bebc0f113a9']",47,,,,,,,,,,,,,,,,,Argentina,779,00:10:47.838,Pass,True,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.894927,,,,,,,,,,,,,fffdbdd5-ba10-4e7f-989d-6476fd645ce3,711,,,"[56.3, 50.8]",3869151,13,,,,,-2.4429328,,Left Foot,,,"[48.8, 44.5]",,Ground Pass,9.794897,,,,Enzo Fernandez,38718.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,24,Argentina,779,['13dd27ed-f845-414c-b52f-bebd400e3c56'],57,,,,,,,,,,,,,,,,,Argentina,779,00:13:57.037,Pass,,Australia,2-1,2022-12-03,,,,,,,,,,,,,,,
