player,team,player_id,Total_Tiros,Partidos_Jugados,Pases_Completados,Recuperaciones,Faltas_Recibidas,Tiros_por_Partido,Pases_por_Partido,Recuperaciones_por_Partido,Faltas_por_Partido,Participacion_Total,Participacion_Por_Partido,Indice_Peligro,Indice_Defensivo
Lionel Andrés Messi Cuccittini,Argentina,5503.0,34,7,306,34,27,4.86,43.71,4.86,3.86,401,57.29,47,64
Kylian Mbappé Lottin,France,3009.0,32,7,180,30,10,4.57,25.71,4.29,1.43,252,36.0,37,48
Olivier Giroud,France,3604.0,17,6,49,3,4,2.83,8.17,0.5,0.67,73,12.17,19,7
Ivan Perišić,Croatia,5474.0,16,7,214,22,0,2.29,30.57,3.14,0.0,252,36.0,16,43
Lautaro Javier Martínez,Argentina,11456.0,15,6,46,6,7,2.5,7.67,1.0,1.17,74,12.33,18,10
Harry Kane,England,10955.0,12,5,65,12,11,2.4,13.0,2.4,2.2,100,20.0,17,18
Serge Gnabry,Germany,8400.0,12,3,85,19,2,4.0,28.33,6.33,0.67,118,39.33,13,27
Neymar da Silva Santos Junior,Brazil,4320.0,12,3,123,13,16,4.0,41.0,4.33,5.33,164,54.67,20,25
Robert Lewandowski,Poland,5668.0,12,4,65,12,10,3.0,16.25,3.0,2.5,99,24.75,17,18
Daniel Olmo Carvajal,Spain,16532.0,12,4,160,20,7,3.0,40.0,5.0,1.75,199,49.75,15,36
Youssef En-Nesyri,Morocco,6301.0,11,7,48,15,4,1.57,6.86,2.14,0.57,78,11.14,13,19
Marcus Rashford,England,3318.0,11,5,49,6,1,2.2,9.8,1.2,0.2,67,13.4,11,10
Cristiano Ronaldo dos Santos Aveiro,Portugal,5207.0,11,5,67,6,6,2.2,13.4,1.2,1.2,90,18.0,14,12
Julián Álvarez,Argentina,29560.0,11,7,93,16,2,1.57,13.29,2.29,0.29,122,17.43,12,25
Jamal Musiala,Germany,39565.0,11,3,94,22,6,3.67,31.33,7.33,2.0,133,44.33,14,31
João Félix Sequeira,Portugal,12041.0,11,4,94,9,10,2.75,23.5,2.25,2.5,124,31.0,16,18
Hakim Ziyech,Morocco,5237.0,11,7,210,28,10,1.57,30.0,4.0,1.43,259,37.0,16,49
Marco Asensio Willemsen,Spain,5719.0,10,4,92,5,4,2.5,23.0,1.25,1.0,111,27.75,12,14
Luis Gerardo Chávez Magallón,Mexico,28825.0,10,3,104,14,8,3.33,34.67,4.67,2.67,136,45.33,14,24
Andrej Kramarić,Croatia,5460.0,10,7,151,13,4,1.43,21.57,1.86,0.57,178,25.43,12,28
Aleksandar Mitrović,Serbia,4269.0,10,3,52,7,1,3.33,17.33,2.33,0.33,70,23.33,10,12
Ismaïla Sarr,Senegal,2941.0,10,4,57,17,17,2.5,14.25,4.25,4.25,101,25.25,18,22
Memphis Depay,Netherlands,2988.0,10,5,96,8,6,2.0,19.2,1.6,1.2,120,24.0,13,17
Mislav Oršić,Croatia,16527.0,10,6,42,5,0,1.67,7.0,0.83,0.0,57,9.5,10,9
Carlos Henrique Casimiro,Brazil,5539.0,10,4,217,15,4,2.5,54.25,3.75,1.0,246,61.5,12,36
Christian Pulisic,United States,8246.0,9,4,84,20,12,2.25,21.0,5.0,3.0,125,31.25,15,28
Takuma Asano,Japan,8949.0,9,4,22,8,0,2.25,5.5,2.0,0.0,39,9.75,9,10
Ernesto Alexis Vega Rojas,Mexico,26301.0,9,3,38,16,6,3.0,12.67,5.33,2.0,69,23.0,12,19
Vinícius José Paixão de Oliveira Júnior,Brazil,18395.0,9,4,70,15,7,2.25,17.5,3.75,1.75,101,25.25,12,22
Adrien Rabiot,France,3026.0,9,6,246,24,6,1.5,41.0,4.0,1.0,285,47.5,12,48
Youssef Msakni,Tunisia,23910.0,9,2,50,9,6,4.5,25.0,4.5,3.0,74,37.0,12,14
Enner Remberto Valencia Lastra,Ecuador,28559.0,9,3,39,13,7,3.0,13.0,4.33,2.33,68,22.67,12,16
Enzo Fernandez,Argentina,38718.0,9,7,416,31,7,1.29,59.43,4.43,1.0,463,66.14,12,72
Heung-Min Son,South Korea,3083.0,9,4,84,14,6,2.25,21.0,3.5,1.5,113,28.25,12,22
Raphael Dias Belloli,Brazil,10595.0,8,5,115,17,5,1.6,23.0,3.4,1.0,145,29.0,10,28
Jonathan David,Canada,23640.0,8,3,43,9,2,2.67,14.33,3.0,0.67,62,20.67,9,13
Boulaye Dia,Senegal,20611.0,8,4,39,9,4,2.0,9.75,2.25,1.0,60,15.0,10,12
Ousmane Dembélé,France,5477.0,8,7,149,22,4,1.14,21.29,3.14,0.57,183,26.14,10,36
Mohammed Kudus,Ghana,17033.0,8,3,61,28,6,2.67,20.33,9.33,2.0,103,34.33,11,34
Gue-Sung Cho,South Korea,40542.0,8,4,39,8,7,2.0,9.75,2.0,1.75,62,15.5,11,11
Bruno Miguel Borges Fernandes,Portugal,5204.0,8,4,186,15,8,2.0,46.5,3.75,2.0,217,54.25,12,33
Richarlison de Andrade,Brazil,3280.0,8,4,39,18,6,2.0,9.75,4.5,1.5,71,17.75,11,21
Álvaro Borja Morata Martín,Spain,3477.0,8,4,27,2,2,2.0,6.75,0.5,0.5,39,9.75,9,4
Niclas Füllkrug,Germany,8546.0,8,3,16,1,1,2.67,5.33,0.33,0.33,26,8.67,8,2
Marko Livaja,Croatia,22041.0,7,6,35,8,3,1.17,5.83,1.33,0.5,53,8.83,8,11
Salem Mohammed Al Dawsari,Saudi Arabia,5187.0,7,3,92,17,3,2.33,30.67,5.67,1.0,119,39.67,8,26
Sofiane Boufal,Morocco,3625.0,7,7,107,17,15,1.0,15.29,2.43,2.14,146,20.86,14,27
Aurélien Djani Tchouaméni,France,10481.0,7,7,431,37,12,1.0,61.57,5.29,1.71,487,69.57,13,80
Haji Wright,United States,22008.0,7,4,20,5,3,1.75,5.0,1.25,0.75,35,8.75,8,7
Alexis Mac Allister,Argentina,27886.0,7,6,242,29,18,1.17,40.33,4.83,3.0,296,49.33,16,53
Kevin De Bruyne,Belgium,3089.0,7,3,100,15,2,2.33,33.33,5.0,0.67,124,41.33,8,25
Ángel Fabián Di María Hernández,Argentina,2995.0,7,5,126,11,7,1.4,25.2,2.2,1.4,151,30.2,10,23
Mitchell Thomas Duke,Australia,33492.0,7,4,36,12,3,1.75,9.0,3.0,0.75,58,14.5,8,15
Luka Modrić,Croatia,5463.0,7,7,463,39,17,1.0,66.14,5.57,2.43,526,75.14,15,85
Gonçalo Matias Ramos,Portugal,38803.0,7,4,24,4,4,1.75,6.0,1.0,1.0,39,9.75,9,6
Nikola Vlašić,Croatia,3441.0,7,6,43,9,6,1.17,7.17,1.5,1.0,65,10.83,10,13
Rodrygo Silva de Goes,Brazil,25104.0,7,5,89,10,7,1.4,17.8,2.0,1.4,113,22.6,10,18
Bukayo Saka,England,22084.0,7,4,84,9,7,1.75,21.0,2.25,1.75,107,26.75,10,17
Joshua Kimmich,Germany,5579.0,7,3,229,17,2,2.33,76.33,5.67,0.67,255,85.0,8,39
Rodrigo Javier De Paul,Argentina,7797.0,7,7,475,37,16,1.0,67.86,5.29,2.29,535,76.43,15,84
Federico Santiago Valverde Dipetta,Uruguay,6773.0,7,3,152,14,4,2.33,50.67,4.67,1.33,177,59.0,9,29
Sergino Dest,United States,21881.0,6,4,174,17,3,1.5,43.5,4.25,0.75,200,50.0,7,34
Hee-Chan Hwang,South Korea,5620.0,6,2,46,10,3,3.0,23.0,5.0,1.5,65,32.5,7,14
Abdelkarim Hassan Al Haj Fadlalla,Qatar,124494.0,6,3,125,12,4,2.0,41.67,4.0,1.33,147,49.0,8,24
İlkay Gündoğan,Germany,10287.0,6,3,148,18,2,2.0,49.33,6.0,0.67,174,58.0,7,32
Wataru Endo,Japan,23721.0,6,4,153,25,9,1.5,38.25,6.25,2.25,193,48.25,10,40
Vincent Paté Aboubakar,Cameroon,11174.0,6,3,20,8,2,2.0,6.67,2.67,0.67,36,12.0,7,10
Mohammed Kanoo,Saudi Arabia,5713.0,6,3,118,18,3,2.0,39.33,6.0,1.0,145,48.33,7,29
Granit Xhaka,Switzerland,3500.0,6,4,211,9,4,1.5,52.75,2.25,1.0,230,57.5,8,30
Michy Batshuayi Tunga,Belgium,3457.0,6,2,15,4,2,3.0,7.5,2.0,1.0,27,13.5,7,5
Daichi Kamada,Japan,9411.0,6,4,83,7,1,1.5,20.75,1.75,0.25,97,24.25,6,15
Harry Maguire,England,3336.0,6,5,354,15,2,1.2,70.8,3.0,0.4,377,75.4,7,50
Breel-Donald Embolo,Switzerland,5545.0,6,4,50,6,14,1.5,12.5,1.5,3.5,76,19.0,13,11
Kieffer Roberto Francisco Moore,Wales,3853.0,6,3,41,4,4,2.0,13.67,1.33,1.33,55,18.33,8,8
Hirving Rodrigo Lozano Bahena,Mexico,5571.0,6,3,41,17,11,2.0,13.67,5.67,3.67,75,25.0,11,21
Azzedine Ounahi,Morocco,46258.0,6,7,221,34,14,0.86,31.57,4.86,2.0,275,39.29,13,56
Mehdi Taremi,Iran,5226.0,6,3,60,14,4,2.0,20.0,4.67,1.33,84,28.0,8,20
Philip Foden,England,4354.0,6,4,93,8,4,1.5,23.25,2.0,1.0,111,27.75,8,17
In-Beom Hwang,South Korea,23763.0,6,4,199,27,3,1.5,49.75,6.75,0.75,235,58.75,7,46
Antonio Rüdiger,Germany,3167.0,6,3,227,16,3,2.0,75.67,5.33,1.0,252,84.0,7,38
Steven Berghuis,Netherlands,7745.0,6,4,98,9,1,1.5,24.5,2.25,0.25,114,28.5,6,18
Antoine Griezmann,France,5487.0,6,7,255,25,11,0.86,36.43,3.57,1.57,297,42.43,11,50
Antony Matheus dos Santos,Brazil,25363.0,6,4,91,12,5,1.5,22.75,3.0,1.25,114,28.5,8,21
Éder Gabriel Militão,Brazil,13620.0,5,4,251,21,3,1.25,62.75,5.25,0.75,280,70.0,6,46
Andreas Evald Cornelius,Denmark,5732.0,5,3,21,3,2,1.67,7.0,1.0,0.67,31,10.33,6,5
Timothy Weah,United States,3377.0,5,4,91,13,2,1.25,22.75,3.25,0.5,111,27.75,6,22
Ahmad Nourollahi,Iran,124167.0,5,3,39,16,1,1.67,13.0,5.33,0.33,61,20.33,5,19
Pierre Kunde Malong,Cameroon,12623.0,5,2,39,8,1,2.5,19.5,4.0,0.5,53,26.5,5,11
Cody Mathès Gakpo,Netherlands,20750.0,5,5,98,23,5,1.0,19.6,4.6,1.0,131,26.2,7,32
Pedro Guilherme Abreu dos Santos,Brazil,25305.0,5,2,12,1,1,2.5,6.0,0.5,0.5,19,9.5,5,2
Tajon Buchanan,Canada,24024.0,5,3,61,15,6,1.67,20.33,5.0,2.0,87,29.0,8,21
Theo Bernard François Hernández,France,6704.0,5,6,290,24,14,0.83,48.33,4.0,2.33,333,55.5,12,53
Rafael Alexandre Conceição Leão,Portugal,18360.0,5,5,32,4,2,1.0,6.4,0.8,0.4,43,8.6,6,7
Romelu Lukaku Menama,Belgium,3289.0,5,2,7,2,1,2.5,3.5,1.0,0.5,15,7.5,5,2
Achraf Hakimi Mouh,Morocco,5245.0,5,7,314,43,13,0.71,44.86,6.14,1.86,375,53.57,11,74
Bruno Guimarães Rodriguez Moura,Brazil,25142.0,5,2,46,9,2,2.5,23.0,4.5,1.0,62,31.0,6,13
Randal Kolo Muani,France,22097.0,5,3,25,6,5,1.67,8.33,2.0,1.67,41,13.67,7,8
Sardar Azmoun,Iran,5224.0,5,3,18,2,1,1.67,6.0,0.67,0.33,26,8.67,5,3
Lovro Majer,Croatia,28914.0,5,7,80,13,5,0.71,11.43,1.86,0.71,103,14.71,7,21
Kang-In Lee,South Korea,22740.0,5,4,61,9,4,1.25,15.25,2.25,1.0,79,19.75,7,15
Kai Havertz,Germany,8966.0,5,2,26,4,1,2.5,13.0,2.0,0.5,36,18.0,5,6
Jude Bellingham,England,30714.0,5,5,242,33,8,1.0,48.4,6.6,1.6,288,57.6,9,57
